Entropy,File Size (bytes),Algorithm,File Name
7.99844632393092,102400,AES (128-bit),pattern_100KB.bin
7.998166294648003,102400,3DES,pattern_100KB.bin
7.9984678648368535,102400,ChaCha20,pattern_100KB.bin
7.998250566482656,102400,Camellia (128-bit),pattern_100KB.bin
7.983253795291018,10240,AES (128-bit),pattern_10KB.bin
7.983751140333903,10240,3DES,pattern_10KB.bin
7.984098832370912,10240,ChaCha20,pattern_10KB.bin
7.9818955245848775,10240,Camellia (128-bit),pattern_10KB.bin
7.999984993686363,10485760,AES (128-bit),pattern_10MB.bin
7.999981342691484,10485760,3DES,pattern_10MB.bin
7.999980074741459,10485760,ChaCha20,pattern_10MB.bin
7.999984597984939,10485760,Camellia (128-bit),pattern_10MB.bin
7.816638200008569,1024,AES (128-bit),pattern_1KB.bin
7.80473784356836,1024,3DES,pattern_1KB.bin
7.836827492912109,1024,ChaCha20,pattern_1KB.bin
7.79543108709573,1024,Camellia (128-bit),pattern_1KB.bin
7.999813188879979,1048576,AES (128-bit),pattern_1MB.bin
7.999811777128049,1048576,3DES,pattern_1MB.bin
7.999854890602252,1048576,ChaCha20,pattern_1MB.bin
7.999834175661664,1048576,Camellia (128-bit),pattern_1MB.bin
7.991512520942563,20480,AES (128-bit),pattern_20KB.bin
7.990968771628872,20480,3DES,pattern_20KB.bin
7.991013313085723,20480,ChaCha20,pattern_20KB.bin
7.991549162085438,20480,Camellia (128-bit),pattern_20KB.bin
7.999991608290949,20971520,AES (128-bit),pattern_20MB.bin
7.999992095547215,20971520,3DES,pattern_20MB.bin
7.999992178486975,20971520,ChaCha20,pattern_20MB.bin
7.999992152160463,20971520,Camellia (128-bit),pattern_20MB.bin
7.911280557062425,2048,AES (128-bit),pattern_2KB.bin
7.903797114885897,2048,3DES,pattern_2KB.bin
7.913801003720066,2048,ChaCha20,pattern_2KB.bin
7.899759131894794,2048,Camellia (128-bit),pattern_2KB.bin
7.999906243377152,2097152,AES (128-bit),pattern_2MB.bin
7.999914548097957,2097152,3DES,pattern_2MB.bin
7.999928745872684,2097152,ChaCha20,pattern_2MB.bin
7.999906284411122,2097152,Camellia (128-bit),pattern_2MB.bin
7.99644852557663,51200,AES (128-bit),pattern_50KB.bin
7.995980677612718,51200,3DES,pattern_50KB.bin
7.996722931958474,51200,ChaCha20,pattern_50KB.bin
7.996636222793551,51200,Camellia (128-bit),pattern_50KB.bin
7.964269676942939,5120,AES (128-bit),pattern_5KB.bin
7.9664954891784285,5120,3DES,pattern_5KB.bin
7.965750081016678,5120,ChaCha20,pattern_5KB.bin
7.964875639607227,5120,Camellia (128-bit),pattern_5KB.bin
7.999960481603764,5242880,AES (128-bit),pattern_5MB.bin
7.999967237696625,5242880,3DES,pattern_5MB.bin
7.999969597470927,5242880,ChaCha20,pattern_5MB.bin
7.999968547134795,5242880,Camellia (128-bit),pattern_5MB.bin
7.99834328753554,102400,AES (128-bit),random_100KB.bin
7.998146179741299,102400,3DES,random_100KB.bin
7.998379035441389,102400,ChaCha20,random_100KB.bin
7.997987528533976,102400,Camellia (128-bit),random_100KB.bin
7.982570316802763,10240,AES (128-bit),random_10KB.bin
7.982740089600136,10240,3DES,random_10KB.bin
7.983757165412574,10240,ChaCha20,random_10KB.bin
7.983072696147924,10240,Camellia (128-bit),random_10KB.bin
7.99998215832117,10485760,AES (128-bit),random_10MB.bin
7.999981240899994,10485760,3DES,random_10MB.bin
7.999983318108917,10485760,ChaCha20,random_10MB.bin
7.999982601077114,10485760,Camellia (128-bit),random_10MB.bin
7.813095168299417,1024,AES (128-bit),random_1KB.bin
7.793409042959593,1024,3DES,random_1KB.bin
7.8172102867084226,1024,ChaCha20,random_1KB.bin
7.806602008106289,1024,Camellia (128-bit),random_1KB.bin
7.999837330419591,1048576,AES (128-bit),random_1MB.bin
7.999835008145262,1048576,3DES,random_1MB.bin
7.99982350212534,1048576,ChaCha20,random_1MB.bin
7.999821530918074,1048576,Camellia (128-bit),random_1MB.bin
7.991183890173559,20480,AES (128-bit),random_20KB.bin
7.9897971417616285,20480,3DES,random_20KB.bin
7.991882315899108,20480,ChaCha20,random_20KB.bin
7.990076193054248,20480,Camellia (128-bit),random_20KB.bin
7.999991056702622,20971520,AES (128-bit),random_20MB.bin
7.999990662754779,20971520,3DES,random_20MB.bin
7.99999073562335,20971520,ChaCha20,random_20MB.bin
7.9999907779384785,20971520,Camellia (128-bit),random_20MB.bin
7.90703533684125,2048,AES (128-bit),random_2KB.bin
7.920970609860521,2048,3DES,random_2KB.bin
7.902491669972686,2048,ChaCha20,random_2KB.bin
7.918752557489534,2048,Camellia (128-bit),random_2KB.bin
7.999914517311051,2097152,AES (128-bit),random_2MB.bin
7.999919507446536,2097152,3DES,random_2MB.bin
7.999913792685621,2097152,ChaCha20,random_2MB.bin
